,strategy,factor,CAGR,daily_sharpe,max_drawdown,avg_drawdown,win_ratio,ytd,MA,std
96,p_100_0_1_v_5_0_5,建材營造&p_ic,0.09231505414041119,45.01,-0.3414105266873678,-0.10006603199635308,0.48484848484848486,0.0,100,0.5
97,p_100_0_1_v_5_0_6,建材營造&p_ic,0.09139265210582836,44.43,-0.35827255841044037,-0.10133724485563977,0.49261083743842365,0.0,100,0.6
98,p_100_0_1_v_5_0_7,建材營造&p_ic,0.09220021382047161,43.63,-0.3582725584104405,-0.09825129261721278,0.5047619047619047,0.0,100,0.7
99,p_100_0_1_v_5_0_8,建材營造&p_ic,0.09356904412985534,43.29,-0.33985321589411077,-0.10041442483515688,0.4976958525345622,0.0,100,0.8
100,p_20_0_1_v_5_0_4,半導體&pb,0.020210649965066052,101.85,-0.3559049387997919,-0.09024211642272902,0.473972602739726,0.0,20,0.4
101,p_20_0_1_v_5_0_5,半導體&pb,0.018235591726114775,102.19,-0.3611446020993312,-0.09069438244507215,0.46883468834688347,0.0,20,0.5
102,p_20_0_1_v_5_0_6,半導體&pb,0.019131698778926065,99.41,-0.35842205044910813,-0.09046341662753027,0.46883468834688347,0.0,20,0.6
103,p_20_0_1_v_5_0_7,半導體&pb,0.019138913594445084,99.39,-0.3584220504491087,-0.09045121960179052,0.46756756756756757,0.0,20,0.7
104,p_20_0_1_v_5_0_8,半導體&pb,0.0160394826096395,107.82,-0.3632189266711954,-0.09203400425878838,0.4672131147540984,0.0,20,0.8
105,p_40_0_1_v_5_0_4,半導體&pb,0.019727973023584866,107.82,-0.35100567018901574,-0.08746828537852422,0.46175637393767704,0.0,40,0.4
106,p_40_0_1_v_5_0_5,半導體&pb,0.01948225875189391,103.11,-0.3621591640302888,-0.08928768935809085,0.4626038781163435,0.0,40,0.5
107,p_40_0_1_v_5_0_6,半導體&pb,0.020634587468009613,100.21,-0.35165774175000475,-0.08895582297587744,0.4696132596685083,0.0,40,0.6
108,p_40_0_1_v_5_0_7,半導體&pb,0.02220756279215519,95.78,-0.35288085321611995,-0.08932368612584012,0.47107438016528924,0.0,40,0.7
109,p_40_0_1_v_5_0_8,半導體&pb,0.016272779043178476,107.66,-0.35804575853059983,-0.09124325582338719,0.4697802197802198,0.0,40,0.8
110,p_60_0_1_v_5_0_4,半導體&pb,0.01735335957974926,110.93,-0.36105547291740603,-0.08959421878604995,0.4594594594594595,0.0,60,0.4
111,p_60_0_1_v_5_0_5,半導體&pb,0.018298452541004595,104.07,-0.36482431886669486,-0.09114797206356227,0.4678362573099415,0.0,60,0.5
112,p_60_0_1_v_5_0_6,半導體&pb,0.018843987445048338,101.04,-0.359510592518025,-0.09075771452269478,0.4753623188405797,0.0,60,0.6
113,p_60_0_1_v_5_0_7,半導體&pb,0.019611889073012145,98.36,-0.36191869430055335,-0.09234254667822815,0.4714285714285714,0.0,60,0.7
114,p_60_0_1_v_5_0_8,半導體&pb,0.016578454337945026,108.91,-0.3572652576505225,-0.08813212650611396,0.47413793103448276,0.0,60,0.8
115,p_80_0_1_v_5_0_4,半導體&pb,0.02334157460877795,95.63,-0.36007418836404925,-0.08885749283675773,0.4653179190751445,0.0,80,0.4
116,p_80_0_1_v_5_0_5,半導體&pb,0.023246955836635497,92.95,-0.3600847668094179,-0.09079335842581927,0.4700854700854701,0.0,80,0.5
117,p_80_0_1_v_5_0_6,半導體&pb,0.021786643505499192,96.95,-0.3589126604991466,-0.09108968772983622,0.4676056338028169,0.0,80,0.6
118,p_80_0_1_v_5_0_7,半導體&pb,0.019449859100754807,103.36,-0.3609715848294409,-0.09291965524094847,0.46537396121883656,0.0,80,0.7
119,p_80_0_1_v_5_0_8,半導體&pb,0.01953375237344379,97.88,-0.36280700708311775,-0.09057613767970302,0.4692737430167598,0.0,80,0.8
120,p_100_0_1_v_5_0_4,半導體&pb,0.02244194534802113,97.89,-0.36653124573681206,-0.0871420009335184,0.46920821114369504,0.0,100,0.4
121,p_100_0_1_v_5_0_5,半導體&pb,0.02173866583767392,97.42,-0.36459565949215245,-0.0891191318695409,0.47246376811594204,0.0,100,0.5
122,p_100_0_1_v_5_0_6,半導體&pb,0.021319341995748475,98.16,-0.3687965246287631,-0.09016007583717028,0.4697406340057637,0.0,100,0.6
123,p_100_0_1_v_5_0_7,半導體&pb,0.019862109267536177,102.95,-0.36901448911987034,-0.09060978119024403,0.4659090909090909,0.0,100,0.7
124,p_100_0_1_v_5_0_8,半導體&pb,0.018317960507925335,100.88,-0.37080348145164566,-0.09031982248251517,0.4704225352112676,0.0,100,0.8
125,p_20_0_1_v_5_0_4,居家生活&ps,0.014180744420176028,96.38,-0.32635766263856436,-0.1038107297936636,0.5588235294117647,0.0,20,0.4
126,p_20_0_1_v_5_0_5,居家生活&ps,0.013247019658818582,98.29,-0.32635766263856514,-0.10447130073860082,0.5277777777777778,0.0,20,0.5
127,p_20_0_1_v_5_0_6,居家生活&ps,0.011700090886248793,102.28,-0.3598999137646828,-0.11287731776070677,0.5135135135135135,0.0,20,0.6
128,p_20_0_1_v_5_0_7,居家生活&ps,0.011700090886248793,102.28,-0.3598999137646828,-0.11287731776070677,0.5135135135135135,0.0,20,0.7
129,p_20_0_1_v_5_0_8,居家生活&ps,0.01778219303731765,91.46,-0.3598999137646822,-0.1632496807688709,0.5384615384615384,0.0,20,0.8
130,p_40_0_1_v_5_0_4,居家生活&ps,0.0070209791332356275,141.51,-0.35151144603155404,-0.13042485810723717,0.5,0.0,40,0.4
131,p_40_0_1_v_5_0_5,居家生活&ps,0.0025457743366532615,132.21,-0.35438224864419365,-0.13827189923253658,0.47058823529411764,0.0,40,0.5
